Taxa, Bantu_chrY_reduced.fasta, STL624_CMOS.tnt, BantuBantoid_Culture_MX.nexus
Iguania_Iguanidae_Cyclura_nubila, -, +, -
Gekkota_Phyllodactylidae_Phyllodactylus_unctus, -, +, -
Scincomorpha_Teiidae_Aspidoscelis_deppei, -, +, -
Iguania_Agamidae_Acanthosaura_armata, -, +, -
Serpentes_Alethinophidia_Colubridae_Sibynophis_collaris, -, +, -
Gekkota_Gekkonidae_Ebenavia_inunguis, -, +, -
Scincomorpha_Lacertidae_Acanthodactylus_scutellatus, -, +, -
Scincomorpha_Cordylidae_Smaug_giganteus, -, +, -
G11Gogo, +, -, -
Outgroup_Mammalia_Caenolestes_fuliginosus, -, +, -
N31bCewa, +, -, -
Serpentes_Alethinophidia_Colubridae_Heterodon_platirhinos, -, +, -
Amphisbaenia_Amphisbaenidae_Chirindia_swynnertoni, -, +, -
Gekkota_Eublepharidae_Eublepharis_macularius, -, +, -
Gekkota_Sphaerodactylidae_Gonatodes_daudini, -, +, -
Scincomorpha_Scincidae_Brachymeles_boulengeri, -, +, -
Gekkota_Gekkonidae_Lygodactylus_tolampyae, -, +, -
Serpentes_Alethinophidia_Colubridae_Enhydris_plumbea, -, +, -
Iguania_Liolaemidae_Liolaemus_lineomaculatus, -, +, -
Iguania_Iguanidae_Ctenosaura_clarki, -, +, -
Serpentes_Alethinophidia_Colubridae_Dinodon_rufozonatus, -, +, -
S45Ngoni, +, -, -
Gekkota_Sphaerodactylidae_Sphaerodactylus_klauberi, -, +, -
Iguania_Agamidae_Amphibolurus_muricatus, -, +, -
Iguania_Leiosauridae_Pristidactylus_scapulatus, -, +, -
Gekkota_Sphaerodactylidae_Lepidoblepharis_xanthostigma, -, +, -
Gekkota_Gekkonidae_Phelsuma_lineata, -, +, -
C51Mbesa, +, -, -
F23Sumbwa, +, -, -
C611MongoNkundo, +, -, -
Serpentes_Alethinophidia_Colubridae_Diadophis_punctatus, -, +, -
Serpentes_Alethinophidia_Colubridae_Pantherophis_guttatus, -, +, -
A242Duala, +, -, -
Iguania_Agamidae_Pseudocalotes_microlepsis, -, +, -
Scincomorpha_Scincidae_Plestiodon_skiltonianus, -, +, -
Gekkota_Sphaerodactylidae_Sphaerodactylus_glaucus, -, +, -
Gekkota_Sphaerodactylidae_Sphaerodactylus_nicholsi, -, +, -
Iguania_Chamaeleonidae_Calumma_parsonii, -, +, -
Scincomorpha_Scincidae_Scelotes_caffer, -, +, -
Scincomorpha_Scincidae_Amphiglossus_macrocercus, -, +, -
Scincomorpha_Scincidae_Corucia_zebrata, -, +, -
Scincomorpha_Scincidae_Ophiomorus_persicus, -, +, -
Serpentes_Alethinophidia_Xenopeltidae_Xenopeltis_unicolor, -, +, -
Iguania_Chamaeleonidae_Calumma_brevicornis, -, +, -
L33Luba, +, -, -
A43bBakoko, +, -, -
Iguania_Phrynosomatidae_Sceloporus_mucronatus, -, +, -
Scincomorpha_Scincidae_Sepsina_angolensis, -, +, -
Gekkota_Eublepharidae_Hemitheconyx_taylori, -, +, -
Anguimorpha_Anguidae_Ophisaurus_attenuatus, -, +, -
J22HHaya, +, -, -
Scincomorpha_Scincidae_Plestiodon_fasciatus, -, +, -
Gekkota_Gekkonidae_Phelsuma_madagascariensis, -, +, -
Iguania_Chamaeleonidae_Trioceros_melleri, -, +, -
Iguania_Tropiduridae_Tropidurus_torquatus, -, +, -
Iguania_Agamidae_Chlamydosaurus_kingii, -, +, -
Scincomorpha_Scincidae_Scincella_gemmingeri, -, +, -
Gekkota_Pygopodidae_Delma_butleri, -, +, -
Iguania_Iguanidae_Dipsosaurus_dorsalis, -, +, -
Amphisbaenia_Amphisbaenidae_Amphisbaena_xera, -, +, -
Serpentes_Alethinophidia_Colubridae_Coluber_constrictor, -, +, -
K221Ndembu, +, -, -
Scincomorpha_Cordylidae_Platysaurus_intermedius, -, +, -
Anguimorpha_Anguidae_Abronia_oaxacae, -, +, -
Gekkota_Gekkonidae_Lygodactylus_mirabilis, -, +, -
Scincomorpha_Lacertidae_Takydromus_septentrionalis, -, +, -
Iguania_Chamaeleonidae_Calumma_globifer, -, +, -
Gekkota_Sphaerodactylidae_Chatogekko_amazonicus, -, +, -
Iguania_Agamidae_Ctenophorus_salinarum, -, +, -
Gekkota_Gekkonidae_Gehyra_mutilata, -, +, -
Serpentes_Scolecophidia_Typhlopidae_Austrotyphlops_australis, -, +, -
Serpentes_Alethinophidia_Tropidophiidae_Ungaliophis_continentalis, -, +, -
Scincomorpha_Scincidae_Lygosoma_bowringii, -, +, -
Scincomorpha_Scincidae_Scincus_mitranus, -, +, -
Iguania_Uromastycidae_Uromastyx_acanthinura, -, +, -
Scincomorpha_Scincidae_Ctenotus_robustus, -, +, -
Gekkota_Gekkonidae_Phelsuma_modesta, -, +, -
D241Binja, +, -, -
Iguania_Leiosauridae_Urostrophus_vautieri, -, +, -
Scincomorpha_Cordylidae_Platysaurus_capensis, -, +, -
Amphisbaenia_Amphisbaenidae_Amphisbaena_kingii, -, +, -
Serpentes_Alethinophidia_Colubridae_Scaphiodontophis_annulatus, -, +, -
E621Caga, +, -, -
Iguania_Chamaeleonidae_Brookesia_thieli, -, +, -
Scincomorpha_Lacertidae_Gallotia_galloti, -, +, -
Anguimorpha_Anguidae_Dopasia_gracilis, -, +, -
Gekkota_Gekkonidae_Lepidodactylus_lugubris, -, +, -
Iguania_Iguanidae_Ctenosaura_pectinata, -, +, -
Amphisbaenia_Bipedidae_Bipes_canaliculatus, -, +, -
Outgroup_Aves_Gallus_gallus, -, +, -
E72a1Giryama, +, -, -
Serpentes_Alethinophidia_Viperidae_Popeia_popeiorum, -, +, -
Serpentes_Alethinophidia_Viperidae_Azemiops_feae, -, +, -
N31Nyasa, +, -, -
Iguania_Chamaeleonidae_Trioceros_jacksonii, -, +, -
Gekkota_Pygopodidae_Ophidiocephalus_taeniatus, -, +, -
Iguania_Opluridae_Oplurus_quadrimaculatus, -, +, -
Gekkota_Eublepharidae_Goniurosaurus_araneus, -, +, -
Iguania_Iguanidae_Sauromalus_ater, -, +, -
Gekkota_Diplodactylidae_Strophurus_ciliaris, -, +, -
K141Lwena, +, -, -
L42Kaonde, +, -, -
Scincomorpha_Xantusiidae_Lepidophyma_smithii, -, +, -
Iguania_Iguanidae_Iguana_iguana, -, +, -
N212Tumbuka, +, -, -
Serpentes_Alethinophidia_Loxocemidae_Loxocemus_bicolor, -, +, -
Iguania_Liolaemidae_Phymaturus_palluma, -, +, -
Iguania_Leiosauridae_Leiosaurus_catamarcensis, -, +, -
Serpentes_Alethinophidia_Boidae_Eunectes_notaeus, -, +, -
Gekkota_Sphaerodactylidae_Teratoscincus_microlepis, -, +, -
Amphisbaenia_Amphisbaenidae_Geocalamus_acutus, -, +, -
Serpentes_Alethinophidia_Uropeltidae_Uropeltis_phillipsi, -, +, -
Outgroup_Aves_Struthio_camelus, -, +, -
Gekkota_Carphodactylidae_Phyllurus_platurus, -, +, -
Gekkota_Sphaerodactylidae_Teratoscincus_roborowskii, -, +, -
Anguimorpha_Varanidae_Varanus_salvator, -, +, -
Scincomorpha_Teiidae_Ameiva_auberi, -, +, -
Iguania_Uromastycidae_Uromastyx_aegyptia, -, +, -
Anguimorpha_Xenosauridae_Xenosaurus_platyceps, -, +, -
Amphisbaenia_Bipedidae_Bipes_biporus, -, +, -
Iguania_Tropiduridae_Plica_umbra, -, +, -
Scincomorpha_Scincidae_Amphiglossus_ornaticeps, -, +, -
Iguania_Chamaeleonidae_Furcifer_pardalis, -, +, -
Scincomorpha_Gymnophthalmidae_Alopoglossus_angulatus, -, +, -
Gekkota_Eublepharidae_Coleonyx_variegatus, -, +, -
Scincomorpha_Gymnophthalmidae_Ptychoglossus_brevifrontalis, -, +, -
Gekkota_Sphaerodactylidae_Gonatodes_concinnatus, -, +, -
Amphisbaenia_Amphisbaenidae_Amphisbaena_alba, -, +, -
C41Ngombe, +, -, -
Iguania_Phrynosomatidae_Sceloporus_grammicus, -, +, -
Gekkota_Sphaerodactylidae_Gonatodes_hasemani, -, +, -
C75Kela, +, -, -
Iguania_Leiocephalidae_Leiocephalus_barahonensis, -, +, -
Scincomorpha_Scincidae_Emoia_caeruleocauda, -, +, -
M312Nyakyusa, +, -, -
S53Tsonga, +, -, -
Scincomorpha_Gerrhosauridae_Gerrhosaurus_validus, -, +, -
Scincomorpha_Cordylidae_Platysaurus_mitchelli, -, +, -
Anguimorpha_Anguidae_Mesaspis_moreletii, -, +, -
Iguania_Crotaphytidae_Crotaphytus_bicinctores, -, +, -
Gekkota_Gekkonidae_Hemidactylus_angulatus, -, +, -
A751Fang, +, -, -
F21Sukuma, +, -, -
Scincomorpha_Scincidae_Lerista_labialis, -, +, -
Serpentes_Alethinophidia_Colubridae_Boiga_irregularis, -, +, -
Iguania_Tropiduridae_Stenocercus_doellojuradoi, -, +, -
Iguania_Hoplocercidae_Enyalioides_laticeps, -, +, -
Iguania_Chamaeleonidae_Chamaeleo_zeylanicus, -, +, -
J51Hunde, +, -, -
Amphisbaenia_Amphisbaenidae_Zygaspis_quadrifrons, -, +, -
Scincomorpha_Scincidae_Madascincus_mouroundavae, -, +, -
Iguania_Leiosauridae_Anisolepis_longicauda, -, +, -
Gekkota_Gekkonidae_Cyrtopodion_scabrum, -, +, -
Iguania_Iguanidae_Ctenosaura_hemilopha, -, +, -
Iguania_Agamidae_Hypsilurus_modestus, -, +, -
Scincomorpha_Scincidae_Scincopus_fasciatus, -, +, -
Gekkota_Carphodactylidae_Saltuarius_cornutus, -, +, -
Serpentes_Alethinophidia_Pythonidae_Aspidites_melanocephalus, -, +, -
Scincomorpha_Scincidae_Plestiodon_quadrilineatus, -, +, -
Gekkota_Sphaerodactylidae_Gonatodes_caudiscutatus, -, +, -
Scincomorpha_Scincidae_Trachylepis_perrotetii, -, +, -
Dibamia_Dibamidae_Dibamus_novaeguineae, -, +, -
Gekkota_Gekkonidae_Cyrtodactylus_peguensis, -, +, -
Scincomorpha_Scincidae_Chalcides_ocellatus, -, +, -
